"LOGIN DATE/TIME","LOGOUT DATE/TIME",USERNAME,"MAC ADDRESS","IP ADDRESS","IPV6 ADDRESS",ZONE,"NAS ID",REASON,"TOTAL TIME","AVERAGE SPEED","TRAFFIC USED",CLASS,BRAND,MODEL,TENANT
"2022-02-09 15:53:58","2022-02-09 15:54:59",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0176,0.0732,Desktop,Unknown,Unknown,default
"2022-02-09 15:55:00","2022-02-09 15:56:00",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0068,0.0573,Desktop,Unknown,Unknown,default
"2022-02-09 15:56:01","2022-02-09 15:57:01",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.1143,0.1746,Desktop,Unknown,Unknown,default
"2022-02-09 15:57:02","2022-02-09 15:58:03",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,1.6162,1.5990,Desktop,Unknown,Unknown,default
"2022-02-09 15:58:04","2022-02-09 15:59:04",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.9072,1.0444,Desktop,Unknown,Unknown,default
"2022-02-09 15:59:05","2022-02-09 16:00:05",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.8330,2.1974,Desktop,Unknown,Unknown,default
"2022-02-09 16:00:06","2022-02-09 16:01:06",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.7549,1.1965,Desktop,Unknown,Unknown,default
"2022-02-09 16:01:07","2022-02-09 16:02:07",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,1.5957,1.4582,Desktop,Unknown,Unknown,default
"2022-02-09 16:02:08","2022-02-09 16:03:08",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,2.4697,0.4356,Desktop,Unknown,Unknown,default
"2022-02-09 16:03:09","2022-02-09 16:04:10",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0059,0.0458,Desktop,Unknown,Unknown,default
"2022-02-09 16:04:11","2022-02-09 16:05:11",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0049,0.0477,Desktop,Unknown,Unknown,default
"2022-02-09 16:05:12","2022-02-09 16:06:12",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0049,0.0311,Desktop,Unknown,Unknown,default
"2022-02-09 16:06:13","2022-02-09 16:07:13",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,2.1465,0.7233,Desktop,Unknown,Unknown,default
"2022-02-09 16:07:14","2022-02-09 16:08:14",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.4863,0.7353,Desktop,Unknown,Unknown,default
"2022-02-09 16:08:15","2022-02-09 16:09:15",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.2617,0.3965,Desktop,Unknown,Unknown,default
"2022-02-09 16:09:17","2022-02-09 16:10:17",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.9082,0.9929,Desktop,Unknown,Unknown,default
"2022-02-09 16:10:18","2022-02-09 16:11:18",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,2.5254,1.0900,Desktop,Unknown,Unknown,default
"2022-02-09 16:11:19","2022-02-09 16:12:19",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.5527,0.4633,Desktop,Unknown,Unknown,default
"2022-02-09 16:12:20","2022-02-09 16:13:20",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0869,0.4558,Desktop,Unknown,Unknown,default
"2022-02-09 16:13:21","2022-02-09 16:14:22",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.1230,0.1985,Desktop,Unknown,Unknown,default
"2022-02-09 16:14:23","2022-02-09 16:15:23",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.2832,0.5887,Desktop,Unknown,Unknown,default
"2022-02-09 16:15:24","2022-02-09 16:16:24",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,1.6113,1.4192,Desktop,Unknown,Unknown,default
"2022-02-09 16:16:25","2022-02-09 16:17:25",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.1846,0.3582,Desktop,Unknown,Unknown,default
"2022-02-09 16:17:26","2022-02-09 16:18:26",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,5.3877,1.8655,Desktop,Unknown,Unknown,default
"2022-02-09 16:18:27","2022-02-09 16:19:27",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0146,0.1106,Desktop,Unknown,Unknown,default
"2022-02-09 16:19:28","2022-02-09 16:20:29",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0195,0.1890,Desktop,Unknown,Unknown,default
"2022-02-09 16:20:30","2022-02-09 16:21:30",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0371,0.0701,Desktop,Unknown,Unknown,default
"2022-02-09 16:21:31","2022-02-09 16:22:31",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0107,0.0751,Desktop,Unknown,Unknown,default
"2022-02-09 16:22:32","2022-02-09 16:23:32",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,1.1807,0.4978,Desktop,Unknown,Unknown,default
"2022-02-09 16:23:33","2022-02-09 16:24:33",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.2607,0.3586,Desktop,Unknown,Unknown,default
"2022-02-09 16:24:34","2022-02-09 16:25:35",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.4590,0.6364,Desktop,Unknown,Unknown,default
"2022-02-09 16:25:36","2022-02-09 16:26:36",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,1.0674,1.0323,Desktop,Unknown,Unknown,default
"2022-02-09 16:26:37","2022-02-09 16:27:37",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,1.5459,1.0655,Desktop,Unknown,Unknown,default
"2022-02-09 16:27:38","2022-02-09 16:28:38",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,1.6641,1.4558,Desktop,Unknown,Unknown,default
"2022-02-09 16:28:39","2022-02-09 16:29:40",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0352,0.4061,Desktop,Unknown,Unknown,default
"2022-02-09 16:29:41","2022-02-09 16:30:41",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0439,0.5199,Desktop,Unknown,Unknown,default
"2022-02-09 16:30:42","2022-02-09 16:31:42",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0225,0.1537,Desktop,Unknown,Unknown,default
"2022-02-09 16:31:43","2022-02-09 16:32:43",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,1.3623,1.1030,Desktop,Unknown,Unknown,default
"2022-02-09 16:32:44","2022-02-09 16:33:44",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.1953,0.3436,Desktop,Unknown,Unknown,default
"2022-02-09 16:33:45","2022-02-09 16:34:46",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,1.9473,0.5326,Desktop,Unknown,Unknown,default
"2022-02-09 16:34:47","2022-02-09 16:35:47",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.1484,0.6879,Desktop,Unknown,Unknown,default
"2022-02-09 16:35:48","2022-02-09 16:36:48",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.1328,0.2728,Desktop,Unknown,Unknown,default
"2022-02-09 16:36:49","2022-02-09 16:37:49",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.2012,0.3949,Desktop,Unknown,Unknown,default
"2022-02-09 16:37:50","2022-02-09 16:38:51",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.5527,0.5384,Desktop,Unknown,Unknown,default
"2022-02-09 16:38:52","2022-02-09 16:39:52",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.2061,0.2465,Desktop,Unknown,Unknown,default
"2022-02-09 16:39:53","2022-02-09 16:40:53",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0107,0.0900,Desktop,Unknown,Unknown,default
"2022-02-09 16:40:54","2022-02-09 16:41:54",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,2.6494,1.1378,Desktop,Unknown,Unknown,default
"2022-02-09 16:41:55","2022-02-09 16:42:56",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.4004,0.4545,Desktop,Unknown,Unknown,default
"2022-02-09 16:42:57","2022-02-09 16:43:57",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.4229,0.5955,Desktop,Unknown,Unknown,default
"2022-02-09 16:43:58","2022-02-09 16:44:58",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.9883,1.0383,Desktop,Unknown,Unknown,default
"2022-02-09 16:44:59","2022-02-09 16:45:59",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.6797,0.5912,Desktop,Unknown,Unknown,default
"2022-02-09 16:46:01","2022-02-09 16:47:01",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.0244,0.2176,Desktop,Unknown,Unknown,default
"2022-02-09 16:47:02","2022-02-09 16:48:02",pfsense,2c:db:07:c5:10:39,172.16.100.43,,Din-tests,CaptivePortal-kiwire,NAS-Request,00:01:00,0.8057,0.6885,Desktop,Unknown,Unknown,default
